"country","population","government","capital"
"Saint Barthelemy","9072","overseas collectivity of France","Gustavia (Saint Barthelemy)"
"Mayotte","212645","territorial collectivity of France","Mamoutzou (Mayotte)"
"Georgia","4483800","republic","Tbilisi (Georgia)"
"Burkina Faso","17322796","parliamentary republic","Ouagadougou (Burkina Faso)"
"Libya","6040612","operates under a transitional government","Tripoli (Libya)"
"Laos","6514432","Communist state","Vientiane (Laos)"
"Switzerland","8139631","formally a confederation but similar in structure to a federal republic","Bern (Bern, Switzerland)"
"Lesotho","2008921","parliamentary constitutional monarchy","Maseru (Lesotho)"
"Pitcairn","66","British Overseas Territories","Adamstown (Pitcairn)"
"Swaziland","1193148","monarchy","Mbabane (Swaziland)"
"Montserrat","4922","British Overseas Territories","Plymouth (Montserrat)"
"Samoa","187820","parliamentary democracy","Apia (Samoa)"
"Serbia","7120666","republic","Beograd (Serbia)"
"Oman","3623001","monarchy","Muscat (Oman)"
"Nauru","10025","republic","Yaren (Nauru)"
"Cuba","11167325","Communist state","La Habana (La Habana, Cuba)"
"Dominican Republic","9445281","democratic republic","Santo Domingo (Dominican Republic)"
"Honduras","8045990","democratic constitutional republic","Tegucigalpa (Francisco Morazán, Honduras)"
"Kiribati","103058","republic","Tarawa (Kiribati)"
"Barbados","277821","parliamentary democracy and a Commonwealth realm","Bridgetown (Barbados)"
"Iran","75149669","theocratic republic","Tehran (Tehran, Iran)"
"Tonga","103252","constitutional monarchy","Nukualofa (Tonga)"
"Uzbekistan","27769270","republic; authoritarian presidential rule with little power outside the executive branch","Toshkent (Toshkent City, Uzbekistan)"
"Cote dIvoire","22671331","republic; multiparty presidential regime established 1960","Yamoussoukro (Lacs, Cote dIvoire)"
"Italy","59433744","republic","Roma (Lazio, Italy)"
"Denmark","5580516","constitutional monarchy","København (Hovedstaden, Denmark)"
"Venezuela","28946101","federal republic","Caracas (Distrito Federal, Venezuela)"
"Kenya","40909194","republic","Nairobi (Kenya)"
"Bermuda","64237","parliamentary; self-governing territory","Hamilton (Bermuda)"
"Jersey","97857","parliamentary democracy","Saint Helier (Jersey)"
"Hungary","9937628","parliamentary democracy","Budapest (Budapest, Hungary)"
"Falkland Islands","2931","British Overseas Territories","Stanley (Falkland Islands)"
"French Polynesia","268270","parliamentary representative democratic French overseas collectivity","Papeete (French Polynesia)"
"Taiwan","23315822","multiparty democracy","Taipei (Taiwan)"
"Sudan","35652002","federal republic","Khartoum (Sudan)"
"Myanmar","51419420","parliamentary government took power in March 2011","Nay Pyi Taw (Nay Pyi Taw, Myanmar)"
"Saint Helena","5663","British Overseas Territories","Jamestown (Saint Helena)"
"Botswana","2038228","parliamentary republic","Gaborone (Botswana)"
"Northern Mariana Islands","53883","commonwealth; self-governing with locally elected governor, lieutenant governor, and legislature","Saipan (Northern Mariana Islands)"
"Norfolk Island","2169","territory of Australia","Kingston (Norfolk Island)"
"Eritrea","5741159","transitional government","Asmara (Eritrea)"
"Benin","9983884","republic","Porto-Novo (Benin)"
"Martinique","392291","overseas department of France","Fort-de-France (Martinique)"
"Ireland","4588252","republic, parliamentary democracy","Dublin (Ireland)"
"Moldova","3559541","republic","Chişinău (Moldova)"
"Lithuania","2979310","parliamentary democracy","Vilnius (Lithuania)"
"Suriname","541638","constitutional democracy","Paramaribo (Suriname)"
"Maldives","341256","republic","Male (Maldives)"
"Mozambique","23700715","republic","Maputo (Cidade de Maputo, Mozambique)"
"Puerto Rico","3725789","commonwealth","San Juan (Puerto Rico)"
"Monaco","36845","constitutional monarchy","Monaco (Monaco)"
"Tunisia","10982754","republic","Tunis (Tunisia)"
"Estonia","1294455","parliamentary republic","Tallinn (Estonia)"
"Brunei","393372","constitutional sultanate (locally known as Malay Islamic Monarchy)","Bandar Seri Begawan (Brunei)"
"Antigua and Barbuda","81799","constitutional monarchy with a parliamentary system of government and a Commonwealth realm","Saint Johns (Antigua and Barbuda)"
"Palau","17501","constitutional government in free association with the US","Melekeok (Palau)"
"Sint Maarten","37429","parliamentary","Philipsburg (Sint Maarten)"
"Seychelles","90945","republic","Victoria (Seychelles)"
"New Zealand","4242048","parliamentary democracy and a Commonwealth realm","Wellington (New Zealand)"
"Grenada","103328","parliamentary democracy and a Commonwealth realm","Saint George's (Grenada)"
"Afghanistan","26023100","Islamic republic","Kabul (Afghanistan)"
"Panama","3405813","constitutional democracy","Panamá City (Panamá, Panama)"
"Pakistan","173149306","federal republic","Islamabad (FCT Islamabad, Pakistan)"
"Gibraltar","27495","dependent territory of the UK","Gibraltar (Gibraltar)"
"Finland","5455068","republic","Helsinki (Uusimaa, Finland)"
"Armenia","3026879","republic","Yerevan (Armenia)"
"Algeria","37062820","republic","Algiers (Algeria)"
"Rwanda","10515973","republic; presidential, multiparty system","Kigali (Rwanda)"
"United Kingdom","64105654","constitutional monarchy and Commonwealth realm","London (London, United Kingdom)"
"Turkey","75627384","republican parliamentary democracy","Ankara (Ankara, Turkey)"
"Croatia","4290612","parliamentary democracy","Zagreb (Croatia)"
"Austria","8499759","federal republic","Wien (Wien, Austria)"
