"city","sea"
"Campos dos Goytacazes (Rio de Janeiro, Brazil)","Atlantic Ocean"
"Oran (Algeria)","Mediterranean Sea"
"Hobart (Tasmania, Australia)","Pacific Ocean"
"Zamboanga (Zamboanga Peninsula, Philippines)","Sulawesi Sea"
"Santa Cruz de Tenerife (Canarias, Spain)","Atlantic Ocean"
"Bhavnagar (Gujarat, India)","Arabian Sea"
"Ikorodu (Lagos, Nigeria)","Atlantic Ocean"
"Anju (North Korea)","Yellow Sea"
"Brisbane (Queensland, Australia)","Pacific Ocean"
"Nelson Mandela Bay (Eastern Cape, South Africa)","Indian Ocean"
"Ulsan (South Korea)","Sea of Japan"
"Wakayama (Wakayama, Japan)","Pacific Ocean"
"Papeete (French Polynesia)","Pacific Ocean"
"Talcahuano (Bío-Bío, Chile)","Pacific Ocean"
"Melaka (Melaka, Malaysia)","Malakka Strait"
"Lauro de Freitas (Bahia, Brazil)","Atlantic Ocean"
"Chetumal (Quintana Roo, Mexico)","Caribbean Sea"
"Weihai (Shandong, China)","Yellow Sea"
"Nassau (Bahamas)","Atlantic Ocean"
"Mamoutzou (Mayotte)","Indian Ocean"
"Parnamirim (Rio Grande do Norte, Brazil)","Atlantic Ocean"
"Zhoushan (Zhejiang, China)","East China Sea"
"Dunedin (New Zealand)","Pacific Ocean"
"Alofi (Niue)","Pacific Ocean"
"Rabat (Rabat Sale Zemmour Zaer, Morocco)","Atlantic Ocean"
"Qingdao (Shandong, China)","Yellow Sea"
"Carolina (Puerto Rico)","Atlantic Ocean"
"Tokushima (Tokushima, Japan)","Pacific Ocean"
"Palermo (Sicilia, Italy)","Mediterranean Sea"
"Pescara (Abruzzo, Italy)","Mediterranean Sea"
"Port Sudan (Sudan)","Red Sea"
"Kingstown (Saint Vincent and the Grenadines)","Caribbean Sea"
"Bridgetown (Barbados)","Atlantic Ocean"
"San Cristóbal de La Laguna (Canarias, Spain)","Atlantic Ocean"
"Anchorage (Alaska, United States)","Pacific Ocean"
"Santiago de Cuba (Santiago de Cuba, Cuba)","Caribbean Sea"
"Tokyo (Tokyo, Japan)","Pacific Ocean"
"Barakaldo (País Vasco, Spain)","Atlantic Ocean"
"Dumai (Riau, Indonesia)","Malakka Strait"
"Nagasaki (Nagasaki, Japan)","East China Sea"
"Bandar Abbas (Hormozgan, Iran)","Persian Gulf"
"Rufisque (Dakar, Senegal)","Atlantic Ocean"
"Oulu (Oulu, Finland)","Baltic Sea"
"Akureyri (Iceland)","Greenland Sea"
"Coatzacoalcos (Veracruz, Mexico)","Gulf of Mexico"
"Angra dos Reis (Rio de Janeiro, Brazil)","Atlantic Ocean"
"Vancouver (British Columbia, Canada)","Pacific Ocean"
"Basse-Terre (Guadeloupe)","Caribbean Sea"
"Longyearbyen (Svalbard)","Norwegian Sea"
"Cartagena (Murcia, Spain)","Mediterranean Sea"
"Yokohama (Kanagawa, Japan)","Pacific Ocean"
"Nishinomiya (Hyogo, Japan)","Pacific Ocean"
"Parnaíba (Piauí, Brazil)","Atlantic Ocean"
"La Plata (Buenos Aires, Argentina)","Atlantic Ocean"
"Padang (Sumatera Barat, Indonesia)","Indian Ocean"
"Port Moresby (Papua New Guinea)","Pacific Ocean"
"Ilhéus (Bahia, Brazil)","Atlantic Ocean"
"Temara (Rabat Sale Zemmour Zaer, Morocco)","Atlantic Ocean"
"Severodvinsk (Arkhangel´skaya, Russia)","Barents Sea"
"Visby (Gotland, Sweden)","Baltic Sea"
"Flying Fish Cove (Christmas Island)","Indian Ocean"
"Bandar Lampung (Lampung, Indonesia)","Indian Ocean"
"Bahía Blanca (Buenos Aires, Argentina)","Atlantic Ocean"
"Sandakan (Sabah, Malaysia)","Sulawesi Sea"
"Santander (Cantabria, Spain)","Atlantic Ocean"
"Misratah (Libya)","Mediterranean Sea"
"Moroni (Comoros)","Indian Ocean"
"La Habana (La Habana, Cuba)","Gulf of Mexico"
"Savannah (Georgia, United States)","Atlantic Ocean"
"Funabashi (Chiba, Japan)","Pacific Ocean"
"Port-Gentil (Gabon)","Atlantic Ocean"
"Basseterre (Saint Kitts and Nevis)","Caribbean Sea"
"Kozhikode (Kerala, India)","Arabian Sea"
"Acapulco (Guerrero, Mexico)","Pacific Ocean"
"Mobile (Alabama, United States)","Gulf of Mexico"
"Nouakchott (Nouakchott, Mauritania)","Atlantic Ocean"
"Gdańsk (Pomorskie, Poland)","Baltic Sea"
"Sri Jayawardhanapura Kotte (Sri Lanka)","Indian Ocean"
"Xai-Xai (Gaza, Mozambique)","Indian Ocean"
"Annapolis (Maryland, United States)","Atlantic Ocean"
"Itajaí (Santa Catarina, Brazil)","Atlantic Ocean"
"Delmas (Haiti)","Caribbean Sea"
"Tórshavn (Faroe Islands)","Norwegian Sea"
"Nice (Provence-Alpes-Côte d'Azur, France)","Mediterranean Sea"
"Al Manāmah (Bahrain)","Persian Gulf"
"Kocaeli (Kocaeli, Turkey)","Marmara Sea"
"Gebze (Kocaeli, Turkey)","Marmara Sea"
"Belém (Pará, Brazil)","Atlantic Ocean"
"Las Piñas (Metro Manila, Philippines)","South China Sea"
"Catia La Mar (Vargas, Venezuela)","Caribbean Sea"
"Chiba (Chiba, Japan)","Pacific Ocean"
"Birkenhead (North West, United Kingdom)","Irish Sea"
"Saint George's (Grenada)","Caribbean Sea"
"Koror (Palau)","Pacific Ocean"
"Bandar Seri Begawan (Brunei)","South China Sea"
"Saint-Denis (Reunion)","Indian Ocean"
"Pekalongan (Jawa Tengah, Indonesia)","Java Sea"
"Riohacha (La Guajira, Colombia)","Caribbean Sea"
"Bo (Sierra Leone)","Atlantic Ocean"
"Hsinchu (Taiwan)","East China Sea"
"Hiroshima (Hiroshima, Japan)","Pacific Ocean"
"Yalova (Yalova, Turkey)","Marmara Sea"
"Kota Bahru (Kelantan, Malaysia)","South China Sea"
"Sokhumi (Georgia)","Black Sea"
"Qinhuangdao (Hebei, China)","Yellow Sea"
"Calabar (Cross River, Nigeria)","Atlantic Ocean"
"Barcelona (Anzoátegui, Venezuela)","Caribbean Sea"
"Paramaribo (Suriname)","Atlantic Ocean"
"Nápoli (Campania, Italy)","Mediterranean Sea"
"São Tomé (Sao Tome and Principe)","Atlantic Ocean"
"Victoria (Seychelles)","Indian Ocean"
"Al Iskandariyah (Egypt)","Mediterranean Sea"
"Banjul (Gambia)","Atlantic Ocean"
"Ternate (Maluku Utara, Indonesia)","Banda Sea"
"Brighton and Hove (South East, United Kingdom)","The Channel"
"Stanley (Falkland Islands)","Atlantic Ocean"
"Cotonou (Benin)","Atlantic Ocean"
"Pontianak (Kalimantan Barat, Indonesia)","South China Sea"
"eThekwini (KwaZulu-Natal, South Africa)","Indian Ocean"
"Split (Croatia)","Mediterranean Sea"
"Florianópolis (Santa Catarina, Brazil)","Atlantic Ocean"
"Kanazawa (Ishikawa, Japan)","Sea of Japan"
"Esbjerg (Syddanmark, Denmark)","North Sea"
"General Santos (Soccsksargen, Philippines)","Sulawesi Sea"
"Lindi (Lindi, Tanzania)","Indian Ocean"
"Ordu (Ordu, Turkey)","Black Sea"
"Vila Velha (Espírito Santo, Brazil)","Atlantic Ocean"
"Halmstad (Halland, Sweden)","Kattegat"
"Trieste (Friuli-Venezia Giulia, Italy)","Mediterranean Sea"
"Kirkwall (Scotland, United Kingdom)","North Sea"
"Belize City (Belize)","Caribbean Sea"
"Kendari (Sulawesi Tenggara, Indonesia)","Banda Sea"
"Ensenada (Baja California, Mexico)","Pacific Ocean"
"Málaga (Andalucía, Spain)","Mediterranean Sea"
"Cairns (Queensland, Australia)","Pacific Ocean"
"Bengkulu (Bengkulu, Indonesia)","Indian Ocean"
"Manado (Sulawesi Utara, Indonesia)","Sulawesi Sea"
"Niterói (Rio de Janeiro, Brazil)","Atlantic Ocean"
"Hafnarfjordur (Iceland)","Atlantic Ocean"
"Wellington (New Zealand)","Pacific Ocean"
"Beihai (Guangxi, China)","South China Sea"
"Haifa (Hefa, Israel)","Mediterranean Sea"
"Praia Grande (São Paulo, Brazil)","Atlantic Ocean"
"Xiamen (Fujian, China)","South China Sea"
"Anadyr (Chukotka, Russia)","Bering Sea"
"The Valley (Anguilla)","Atlantic Ocean"
"Haiphong (Vietnam)","South China Sea"
"Dalian (Liaoning, China)","Yellow Sea"
"Blackpool (North West, United Kingdom)","Irish Sea"
"Freetown (Sierra Leone)","Atlantic Ocean"
"Okayama (Okayama, Japan)","Pacific Ocean"
"Kingston (Norfolk Island)","Pacific Ocean"
"Pemba (Cabo Delgado, Mozambique)","Indian Ocean"
"Rhodes (Notioy Aigaioy, Greece)","Mediterranean Sea"
"Ciudad Madero (Tamaulipas, Mexico)","Gulf of Mexico"
"Nouadhibou (Dakhlet Nouadhibou, Mauritania)","Atlantic Ocean"
"Buenaventura (Valle de Cauca, Colombia)","Pacific Ocean"
"Singapore (Singapore)","South China Sea"
"Singapore (Singapore)","Malakka Strait"
"Tromsø (Troms, Norway)","Norwegian Sea"
"Kochi (Kochi, Japan)","Pacific Ocean"
"Bodø (Nordland, Norway)","Norwegian Sea"
"Matsuyama (Ehime, Japan)","Pacific Ocean"
"Galway (Ireland)","Atlantic Ocean"
"Rímini (Emilia-Romagna, Italy)","Mediterranean Sea"
"Catánia (Sicilia, Italy)","Mediterranean Sea"
"Sankt Peterburg (Sankt-Peterburg, Russia)","Baltic Sea"
"Moss (Østfold, Norway)","Skagerrak"
"Gijón (Asturias, Spain)","Atlantic Ocean"
"West Island (Cocos Islands)","Indian Ocean"
"Zonguldak (Zonguldak, Turkey)","Black Sea"
"Tegal (Jawa Tengah, Indonesia)","Java Sea"
"Toulon (Provence-Alpes-Côte d'Azur, France)","Mediterranean Sea"
"Batam (Kepulauan Riau, Indonesia)","South China Sea"
"Saint-Pierre (Saint Pierre and Miquelon)","Atlantic Ocean"
"Casablanca (Grand Casablanca, Morocco)","Atlantic Ocean"
"Bata (Continental, Equatorial Guinea)","Atlantic Ocean"
"Cilegon (Banten, Indonesia)","Java Sea"
"Dundee (Scotland, United Kingdom)","North Sea"
"Lulea (Norrbotten, Sweden)","Baltic Sea"
"Taganrog (Rostovskaya, Russia)","Sea of Azov"
"Puerto Lempira (Gracias a Dios, Honduras)","Caribbean Sea"
"Vila Nova de Gaia (Porto, Portugal)","Atlantic Ocean"
"Rio de Janeiro (Rio de Janeiro, Brazil)","Atlantic Ocean"
"Mohammedia (Grand Casablanca, Morocco)","Atlantic Ocean"
"Kaesong (North Korea)","Yellow Sea"
"Trivandrum (Kerala, India)","Indian Ocean"
"Changuinola (Bocas del Toro, Panama)","Caribbean Sea"
"Sumbe (Cuanza Sul, Angola)","Atlantic Ocean"
"Veracruz (Veracruz, Mexico)","Gulf of Mexico"
"Miyazaki (Miyazaki, Japan)","Pacific Ocean"
"Al Ladhiqiyah (Al Ladhiqiyah, Syria)","Mediterranean Sea"
"San Diego (California, United States)","Pacific Ocean"
"Cumaná (Sucre, Venezuela)","Caribbean Sea"
"Grand Turk (Turks and Caicos Islands)","Atlantic Ocean"
"Karlskrona (Blekinge, Sweden)","Baltic Sea"
"Inhambane (Inhambane, Mozambique)","Indian Ocean"
"Oceanside (California, United States)","Pacific Ocean"
"Toliara (Madagascar)","Indian Ocean"
"Kerch (Krym, Ukraine)","Black Sea"
"Kerch (Krym, Ukraine)","Sea of Azov"
"Oxnard (California, United States)","Pacific Ocean"
"Aden (Yemen)","Gulf of Aden"
"Petropavlovsk-Kamčatskij (Kamchatka, Russia)","Pacific Ocean"
"Le Havre (Haute-Normandie, France)","The Channel"
"Bandjarmasin (Kalimantan Selatan, Indonesia)","Java Sea"
"Dubai (United Arab Emirates)","Persian Gulf"
"Marsa Matruh (Egypt)","Mediterranean Sea"
"Tanga (Tanga, Tanzania)","Indian Ocean"
"Trondheim (Sør-Trøndelag, Norway)","Norwegian Sea"
"Jamnagar (Gujarat, India)","Arabian Sea"
"Djibouti (Djibouti)","Gulf of Aden"
"Bridgeport (Connecticut, United States)","Atlantic Ocean"
"Incheon (South Korea)","Yellow Sea"
"Fukuyama (Hiroshima, Japan)","Pacific Ocean"
"Kaliningrad (Kaliningradskaya, Russia)","Baltic Sea"
"Bartin (Bartın, Turkey)","Black Sea"
"Wenzhou (Zhejiang, China)","East China Sea"
"Macao (Macao)","South China Sea"
"Maceió (Alagoas, Brazil)","Atlantic Ocean"
"Kuala Terengganu (Terengganu, Malaysia)","South China Sea"
"Monaco (Monaco)","Mediterranean Sea"
"Adelaide (South Australia, Australia)","Indian Ocean"
"Porto-Novo (Benin)","Atlantic Ocean"
"Bilbao (País Vasco, Spain)","Atlantic Ocean"
"Göteborg (Västra Götaland, Sweden)","Kattegat"
"Talara (Piura, Peru)","Pacific Ocean"
"Dar es Salaam (Dar es Salaam, Tanzania)","Indian Ocean"
"Comodoro Rivadavia (Chubut, Argentina)","Atlantic Ocean"
"Probolinggo (Jawa Timur, Indonesia)","Java Sea"
"Santa Ana de Coro (Falcón, Venezuela)","Caribbean Sea"
"Buenos Aires (Distrito Federal, Argentina)","Atlantic Ocean"
"Vejle (Syddanmark, Denmark)","Kattegat"
"Plymouth (South West, United Kingdom)","The Channel"
"Bur Sa'id (Egypt)","Mediterranean Sea"
"Varna (Bulgaria)","Black Sea"
"Port Harcourt (Rivers, Nigeria)","Atlantic Ocean"
"Nampho (North Korea)","Yellow Sea"
"As Seeb (Oman)","Gulf of Oman"
